City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,suva,-18.1416,178.4415,21.710000000000036,94,24,1.03,FJ,1722617653
206,richards bay,-28.783,32.0377,20.689999999999998,84,24,5.94,ZA,1722617655
207,mahina,-17.5065,-149.489,19.870000000000005,77,20,1.54,PF,1722617656
208,malinyi,-8.9333,36.1333,22.82000000000005,40,44,0.24,TZ,1722617657
209,mandera,3.9366,41.867,30.810000000000002,34,100,5.24,KE,1722617658
210,markaz-e hukumat-e darweshan,31.1323,64.1934,35.53000000000003,11,12,6.21,AF,1722617659
211,bathsheba,13.2167,-59.5167,31.340000000000032,74,40,8.23,BB,1722617660
212,laojunmiao,39.8333,97.7333,20.53000000000003,39,0,2.08,CN,1722617662
213,tolga,34.7222,5.3785,45.450000000000045,7,25,2.68,DZ,1722617663
214,itoman,26.1247,127.6694,29.010000000000048,86,0,2.57,JP,1722617664
215,stephenville,32.2207,-98.2023,33.98000000000002,48,0,3.09,US,1722617665
216,al kharijah,25.4514,30.5464,38.76000000000005,15,2,5.81,EG,1722617666
217,borzya,50.3833,116.5167,16.620000000000005,73,100,2.56,RU,1722617667
218,horta,38.5333,-28.6333,26.120000000000005,72,20,4.47,PT,1722617669
219,springbok,-29.6643,17.8865,12.650000000000034,17,0,1.67,ZA,1722617487
220,arkhangel'sk,64.5401,40.5433,19.060000000000002,82,40,2.0,RU,1722617528
221,dudinka,69.4058,86.1778,14.760000000000048,81,71,3.96,RU,1722617672
222,cooper's town,26.8667,-77.5167,28.960000000000036,78,2,7.91,BS,1722617673
223,klyuchi,52.2667,79.1667,24.370000000000005,48,33,4.49,RU,1722617674
224,punta arenas,-53.15,-70.9167,4.060000000000002,87,100,7.72,CL,1722617675
225,keflavik,64.0049,-22.5624,15.950000000000045,76,0,10.29,IS,1722617677
226,trincomalee,8.5711,81.2335,28.33000000000004,70,91,7.96,LK,1722617678
227,akot,21.0964,77.0586,24.54000000000002,92,100,3.79,IN,1722617679
228,papao,-17.75,-149.55,19.82000000000005,67,6,6.63,PF,1722617680
229,santa ana,33.7456,-117.8678,31.52000000000004,63,40,0.89,US,1722617681
230,piacabucu,-10.4056,-36.4344,25.180000000000007,76,61,5.17,BR,1722617683
231,kathmandu,27.7167,85.3167,22.120000000000005,100,75,0.0,NP,1722617682
232,bianzhuang,34.8486,118.0447,26.600000000000023,92,0,1.15,CN,1722617685
233,aracati,-4.5617,-37.7697,32.629999999999995,27,38,6.79,BR,1722617686
234,haiku-pauwela,20.9219,-156.3051,21.810000000000002,89,75,3.09,US,1722617687
235,nicoya,10.1483,-85.452,29.03000000000003,76,98,0.92,CR,1722617688
236,kasba tadla,32.5977,-6.2684,40.06,12,3,7.0,MA,1722617690
237,santa marta de ortigueira,43.6833,-7.85,19.480000000000018,73,3,3.03,ES,1722617691
238,mount pearl,47.5166,-52.7813,25.189999999999998,87,75,9.77,CA,1722617403
239,prainha,-1.8,-53.48,34.360000000000014,38,76,2.13,BR,1722617693
240,bay harbor,30.1471,-85.6146,27.970000000000027,78,75,0.0,US,1722617694
241,cabo san lucas,22.8909,-109.9124,32.879999999999995,59,97,1.79,MX,1722617457
242,swan hill,-35.3378,143.5544,6.890000000000043,65,82,3.28,AU,1722617696
243,sassnitz,54.5167,13.65,18.54000000000002,65,100,2.98,DE,1722617698
244,antsiranana,-12.2787,49.2917,22.860000000000014,63,0,8.23,MG,1722617699
245,ballina,-28.8667,153.5667,9.32000000000005,81,73,4.52,AU,1722617700
246,nema,57.5067,50.5011,15.560000000000002,93,98,2.52,RU,1722617701
247,aweil,8.7682,27.4002,25.129999999999995,68,69,1.73,SS,1722617702
248,susuman,62.7833,148.1667,1.75,86,100,1.6,RU,1722617703
249,radomir,42.5444,22.9578,31.689999999999998,21,47,3.74,BG,1722617705
250,kruisfontein,-34.0033,24.7314,12.710000000000036,87,78,2.33,ZA,1722617706
251,ploneour-lanvern,47.9,-4.2833,20.180000000000007,73,100,4.63,FR,1722617707
252,byron bay,-28.65,153.6167,9.28000000000003,85,49,4.7,AU,1722617708
253,kenora,49.8167,-94.4337,23.54000000000002,53,20,3.6,CA,1722617710
254,san fernando de monte cristi,19.8667,-71.65,30.52000000000004,64,41,3.61,DO,1722617711
255,guatire,10.4762,-66.5427,35.31,44,7,0.75,VE,1722617713
256,valdivia,-39.8142,-73.2459,12.050000000000011,95,90,3.69,CL,1722617549
257,suances,43.4334,-4.0434,22.28000000000003,83,75,2.06,ES,1722617715
258,sao paulo de olivenca,-3.3783,-68.8725,35.72000000000003,39,23,0.7,BR,1722617716
259,el colomo,19.05,-104.25,29.910000000000025,62,100,1.94,MX,1722617717
260,orenburg,51.7727,55.0988,19.010000000000048,47,97,3.29,RU,1722617629
261,puerto deseado,-47.7503,-65.8938,11.990000000000009,57,55,10.04,AR,1722617720
262,saldanha,-33.0117,17.9442,13.03000000000003,76,29,1.65,ZA,1722617721
263,alto araguaia,-17.3147,-53.2153,31.980000000000018,19,4,5.91,BR,1722617722
264,hadibu,12.65,54.0333,26.120000000000005,75,69,9.19,YE,1722617723
265,kaga bandoro,6.9896,19.1874,24.870000000000005,85,82,1.45,CF,1722617724
266,ogoja,6.6547,8.7976,25.55000000000001,90,98,3.42,NG,1722617725
267,pontianak,-0.0333,109.3333,24.99000000000001,100,75,1.54,ID,1722617727
268,swedru,5.5371,-0.6998,25.53000000000003,77,99,4.58,GH,1722617729
269,shingu,33.7333,135.9833,25.170000000000016,91,22,1.33,JP,1722617730
270,dryden,49.7833,-92.7503,24.160000000000025,46,20,5.14,CA,1722617731
271,meizhou,24.2977,116.1072,26.620000000000005,88,26,0.68,CN,1722617732
272,sechura,-5.5569,-80.8222,24.220000000000027,58,8,3.97,PE,1722617734
273,coruripe,-10.1256,-36.1756,24.33000000000004,79,43,4.92,BR,1722617735
274,fallon,39.4735,-118.7774,31.170000000000016,28,64,2.33,US,1722617736
275,troitsko-pechorsk,62.7084,56.1964,16.920000000000016,82,97,2.28,RU,1722617737
276,kudahuvadhoo,2.6708,72.8944,28.590000000000032,72,87,2.49,MV,1722617738
277,al jawf,29.5,38.75,33.5,15,1,4.32,SA,1722617739
278,bardai,11.65,7.2333,24.920000000000016,79,80,3.83,NG,1722617741
279,la passe,45.5549,-0.8967,27.129999999999995,63,0,7.32,FR,1722617742
280,touros,-5.1989,-35.4608,27.439999999999998,65,20,7.29,BR,1722617743
281,san pedro,14.35,121.0167,25.200000000000045,93,19,1.34,PH,1722617744
282,aktau,43.65,51.2,26.32000000000005,57,11,3.48,KZ,1722617745
283,jayapura,-2.5333,140.7,25.660000000000025,94,37,2.19,ID,1722617746
284,kavaratti,10.5669,72.642,27.700000000000045,83,100,5.59,IN,1722617747
285,osmaniye,37.0742,36.2478,26.08000000000004,83,1,3.57,TR,1722617749
286,pacific grove,36.6177,-121.9166,18.57000000000005,96,40,1.79,US,1722617750
287,gadzhiyevo,69.2551,33.3362,10.939999999999998,86,28,5.56,RU,1722617751
